what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1420811937873
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1420811940373
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420811947866
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420812040760
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420812045991
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420812052064
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420812054460
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420812058809
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420812059909
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420812061422
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420812062520
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420812064796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420812065328
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420812066127
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420812067107
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420812090286
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420812091468
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420812094440
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420812095263
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420812098938
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420812099927
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420812103391
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1420812114806
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1420812118077
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1420812118571
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1420812118595
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1420812118616
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1420812118645
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420812123947
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420812127500
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420812128323
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420812135265
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420812136171
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420812211142
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420812212907
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420812422419
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420812424313
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420812427141
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420812428969
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420812429964
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420812431472
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420812438654
